cell_id,group_id,method,kv_dtype,num_spec_tokens,dataset,load,n_runs,TTFT_ms,TPOT_ms,out_tok_s,tot_tok_s,accept_%,accept_len,gpu_mem_MB
baseline_auto__humaneval__b1,baseline_auto,baseline,auto,,humaneval,1,3,14.005596749484539,4.084371457643369,242.3798959225923,396.1174049199544,,,73872.0
baseline_fp8__humaneval__b1,baseline_fp8,baseline,fp8,,humaneval,1,3,16.381765715777874,4.426708844214179,222.30849695809636,367.34519720088116,,,74326.0
ngram_st2_auto__humaneval__b1,ngram_st2_auto,ngram,auto,2,humaneval,1,3,12.967650778591633,4.454737956471304,225.96161499564624,369.7785114040635,28.76258678366702,1.5752033886909165,74098.0
ngram_st2_fp8__humaneval__b1,ngram_st2_fp8,ngram,fp8,2,humaneval,1,3,13.687893748283386,5.138773783384,194.69028520354004,322.27607105639777,35.240854762767114,1.703397707322111,74756.0
ngram_st4_auto__humaneval__b1,ngram_st4_auto,ngram,auto,4,humaneval,1,3,12.040526140481234,4.231258795834055,240.5289734511214,393.70259540227636,18.624700395756303,1.7443103768331167,75266.0
ngram_st4_fp8__humaneval__b1,ngram_st4_fp8,ngram,fp8,4,humaneval,1,3,13.672989793121815,4.9041137967376685,205.6173222010103,340.0477586028344,23.32004583696536,1.9270001946661477,75494.0
ngram_st8_auto__humaneval__b1,ngram_st8_auto,ngram,auto,8,humaneval,1,3,12.126832734793425,3.9642661537662978,254.32200061230287,416.1418724284865,11.05210984861693,1.8785886825327682,77738.0
ngram_st8_fp8__humaneval__b1,ngram_st8_fp8,ngram,fp8,8,humaneval,1,3,13.671695720404387,4.463273062206367,225.9536000565577,373.0640287608785,14.601550899191555,2.153695737192022,79350.0
baseline_auto__humaneval__b8,baseline_auto,baseline,auto,,humaneval,8,3,17.477835062891245,4.1818488097073985,1865.1758246183415,3054.5361408732388,,,73872.0
baseline_fp8__humaneval__b8,baseline_fp8,baseline,fp8,,humaneval,8,3,20.74061008170247,4.466913397624797,1726.0168537122902,2854.0750598394748,,,74326.0
ngram_st2_auto__humaneval__b8,ngram_st2_auto,ngram,auto,2,humaneval,8,3,13.546765316277742,4.828535430939509,1644.2090661837792,2685.9978346440753,28.611803267722465,1.572226495869427,74098.0
ngram_st2_fp8__humaneval__b8,ngram_st2_fp8,ngram,fp8,2,humaneval,8,3,20.416624378412962,6.756388187846716,1166.9006885912627,1922.7507498359141,34.80480890740804,1.6946489434219496,74756.0
ngram_st4_auto__humaneval__b8,ngram_st4_auto,ngram,auto,4,humaneval,8,3,13.156351167708635,4.531222748040569,1765.5074923190198,2888.3093844365403,18.31047427891763,1.7319020911488319,75266.0
ngram_st4_fp8__humaneval__b8,ngram_st4_fp8,ngram,fp8,4,humaneval,8,3,20.889237988740206,6.414397101045823,1237.5985856789252,2045.9850520900286,23.644735033673008,1.9406365944151531,75494.0
ngram_st8_auto__humaneval__b8,ngram_st8_auto,ngram,auto,8,humaneval,8,3,13.515031430870295,4.52247185669109,1766.128720914754,2889.343012922267,10.785993454606855,1.8578142896638887,77738.0
ngram_st8_fp8__humaneval__b8,ngram_st8_fp8,ngram,fp8,8,humaneval,8,3,21.062135696411133,6.050216718900798,1289.3191461639094,2132.4628885568522,14.65995045235571,2.157830802603037,79350.0
baseline_auto__humaneval__b32,baseline_auto,baseline,auto,,humaneval,32,3,53.88961732387543,4.674090726264551,6503.171592153978,10642.155650659348,,,73872.0
baseline_fp8__humaneval__b32,baseline_fp8,baseline,fp8,,humaneval,32,3,54.23370283097029,5.171383782198617,5787.676124037742,9505.41475257228,,,74326.0
ngram_st2_auto__humaneval__b32,ngram_st2_auto,ngram,auto,2,humaneval,32,3,17.03211758285761,6.079648844167298,5016.389633880363,8199.719238602911,28.80125760920463,1.5760058864844977,74132.0
ngram_st2_fp8__humaneval__b32,ngram_st2_fp8,ngram,fp8,2,humaneval,32,3,22.169708274304867,7.571590635195082,3985.0179168768304,6588.7708706132635,35.049354331253134,1.6997411561691114,74756.0
ngram_st4_auto__humaneval__b32,ngram_st4_auto,ngram,auto,4,humaneval,32,3,18.221861217170954,6.11807872157763,4998.8826848376075,8180.943751509791,18.53717827385923,1.7409508974929535,75266.0
ngram_st4_fp8__humaneval__b32,ngram_st4_fp8,ngram,fp8,4,humaneval,32,3,23.738989140838385,7.4576355809090185,4044.926398438563,6697.361400438748,23.869822602556347,1.9504106127605811,75896.0
